iter,tec,vintage,year_all,Level
2121,BTL,2025,2025,0.000e+00
2121,BTL,2025,2030,0.000e+00
2121,BTL,2025,2035,0.000e+00
2121,BTL,2025,2040,0.000e+00
2121,BTL,2030,2030,0.000e+00
2121,BTL,2030,2035,0.000e+00
2121,BTL,2030,2040,1.913e-07
2121,BTL,2030,2045,2.273e+00
2121,BTL,2035,2035,0.000e+00
2121,BTL,2035,2040,0.000e+00
2121,BTL,2035,2045,0.000e+00
2121,BTL,2035,2050,2.701e+07
2121,BTL,2040,2040,0.000e+00
2121,BTL,2040,2045,0.000e+00
2121,BTL,2040,2050,0.000e+00
2121,BTL,2045,2045,0.000e+00
2121,BTL,2045,2050,0.000e+00
2121,BTL,2050,2050,0.000e+00
2122,OTL,2020,2020,0.000e+00
2122,OTL,2020,2025,0.000e+00
2122,OTL,2020,2030,0.000e+00
2122,OTL,2020,2035,0.000e+00
2122,OTL,2025,2025,0.000e+00
2122,OTL,2025,2030,0.000e+00
2122,OTL,2025,2035,0.000e+00
2122,OTL,2025,2040,0.000e+00
2122,OTL,2030,2030,0.000e+00
2122,OTL,2030,2035,0.000e+00
2122,OTL,2030,2040,0.000e+00
2122,OTL,2030,2045,0.000e+00
2122,OTL,2035,2035,0.000e+00
2122,OTL,2035,2040,0.000e+00
2122,OTL,2035,2045,0.000e+00
2122,OTL,2035,2050,0.000e+00
2122,OTL,2040,2040,0.000e+00
2122,OTL,2040,2045,0.000e+00
2122,OTL,2040,2050,0.000e+00
2122,OTL,2045,2045,0.000e+00
2122,OTL,2045,2050,0.000e+00
2122,OTL,2050,2050,0.000e+00
2122,CTL,2020,2020,0.000e+00
2122,CTL,2020,2025,0.000e+00
2122,CTL,2020,2030,0.000e+00
2122,CTL,2020,2035,0.000e+00
2122,CTL,2025,2025,0.000e+00
2122,CTL,2025,2030,0.000e+00
2122,CTL,2025,2035,0.000e+00
2122,CTL,2025,2040,0.000e+00
2122,CTL,2030,2030,0.000e+00
2122,CTL,2030,2035,0.000e+00
2122,CTL,2030,2040,0.000e+00
2122,CTL,2030,2045,0.000e+00
2122,CTL,2035,2035,0.000e+00
2122,CTL,2035,2040,0.000e+00
2122,CTL,2035,2045,0.000e+00
2122,CTL,2035,2050,0.000e+00
2122,CTL,2040,2040,0.000e+00
2122,CTL,2040,2045,0.000e+00
2122,CTL,2040,2050,0.000e+00
2122,CTL,2045,2045,0.000e+00
2122,CTL,2045,2050,0.000e+00
2122,CTL,2050,2050,0.000e+00
2122,PTL,2020,2020,3.165e+08
2122,PTL,2020,2025,3.950e+08
2122,PTL,2020,2030,4.457e+08
2122,PTL,2020,2035,4.806e+08
2122,PTL,2025,2025,0.000e+00
2122,PTL,2025,2030,0.000e+00
2122,PTL,2025,2035,0.000e+00
2122,PTL,2025,2040,4.957e+08
2122,PTL,2030,2030,0.000e+00
2122,PTL,2030,2035,0.000e+00
2122,PTL,2030,2040,0.000e+00
2122,PTL,2030,2045,4.854e+08
2122,PTL,2035,2035,0.000e+00
2122,PTL,2035,2040,0.000e+00
2122,PTL,2035,2045,0.000e+00
2122,PTL,2035,2050,4.553e+08
2122,PTL,2040,2040,0.000e+00
2122,PTL,2040,2045,0.000e+00
2122,PTL,2040,2050,0.000e+00
2122,PTL,2045,2045,0.000e+00
2122,PTL,2045,2050,0.000e+00
2122,PTL,2050,2050,0.000e+00
2122,BTL,2020,2020,0.000e+00
2122,BTL,2020,2025,0.000e+00
2122,BTL,2020,2030,0.000e+00
2122,BTL,2020,2035,0.000e+00
2122,BTL,2025,2025,0.000e+00
